Neighborhood,Total Crimes,Density,Average Income,Latitude,Longitude
Agincourt North,1008,"3,929","30,414",43.8080383,-79.2664391
Agincourt South-Malvern West,1331,"3,034","31,825",,
Alderwood,460,"2,435","47,709",43.6017173,-79.5452325
Annex,2908,"10,863","112,766",43.6703377,-79.407117
Banbury-Don Mills,938,"2,775","67,757",43.7348039,-79.3572426
Bathurst Manor,951,"3,377","45,936",-33.4166378,149.5804943
Bay Street Corridor,3564,"14,097","56,526",48.43262135,-123.327567032197
Bayview Village,798,"4,195","52,035",43.7691966,-79.3766617
Bayview Woods-Steeles,428,"3,240","47,246",43.7981268,-79.3829726
Bedford Park-Nortown,1135,"4,209","123,077",,
Beechborough-Greenbrook,615,"3,614","33,829",,
Bendale,2277,"4,011","33,256",43.7535196,-79.2553355
Birchcliffe-Cliffside,1411,"3,765","54,360",,
Black Creek,2006,"6,282","25,989",44.5195476,-88.3791735
Blake-Jones,425,"8,134","48,511",28.3493734,-80.7386475
Briar Hill-Belgravia,1117,"7,791","34,768",41.9385174,-87.6393935
Bridle Path-Sunnybrook-York Mills,420,"1,040","308,010",,
Broadview North,299,"6,764","44,557",43.6839242,-79.3569642
Brookhaven-Amesbury,829,"5,045","32,483",,
Caledonia-Fairbank,328,"6,464","35,112",43.6928659,-79.4621437
Casa Loma,457,"5,683","165,047",43.6781015,-79.409415775
Centennial Scarborough,311,"2,479","54,045",43.7874914,-79.1507681
Church-Yonge Corridor,6301,"23,044","53,583",43.6799189,-79.3886888
Clairlea-Birchmount,2163,"3,632","36,232",,
Clanton Park,735,"3,979","51,181",45.517867,-91.7408485707676
Cliffcrest,1014,"2,273","44,718",43.7219387,-79.2362324
Corso Italia-Davenport,818,"7,478","41,717",43.677954,-79.4430828
Danforth,1191,"8,554","55,225",40.820312,-87.977818
Danforth East York,464,"7,881","51,846",43.6864333,-79.3003555
Don Valley Village,1285,"6,441","37,379",43.7926732,-79.3547219
Dorset Park,1756,"4,146","31,692",43.7528467,-79.282067
Dovercourt-Wallace Emerson-Junction,2450,"9,819","39,740",,
Downsview-Roding-CFB,2974,"2,337","34,168",,
Dufferin Grove,602,"8,540","40,588",43.6536319,-79.4264389
East End-Danforth,1691,"8,038","54,324",43.6684402,-79.33067
Edenbridge-Humber Valley,473,"2,840","101,551",43.6786234,-79.5101307
Eglinton East,1804,"7,051","30,033",43.739622,-79.2322904
Elms-Old Rexdale,581,"3,306","32,012",43.7213619,-79.5655129
Englemount-Lawrence,873,"6,466","48,134",43.7115939,-79.4360013
Eringate-Centennial-West Deane,676,"2,171","47,002",,
Etobicoke West Mall,450,"6,582","38,255",43.6481772,-79.5681708
Flemingdon Park,1001,"9,026","28,654",43.7184315,-79.333204
Forest Hill North,568,"8,054","85,099",42.0792411,-77.0010768
Forest Hill South,360,"4,380","204,521",59.4097454,13.5833927
Glenfield-Jane Heights,1981,"5,864","27,984",47.5403364,-52.8420152
Greenwood-Coxwell,885,"8,582","46,206",,
Guildwood,402,"2,673","53,203",43.7552251,-79.1982293
Henry Farm,472,"6,047","36,359",43.7695089,-79.354296
High Park North,1057,"11,726","57,465",43.6547092,-79.4600712
High Park-Swansea,647,"4,893","71,204",43.64494,-79.478313
Highland Creek,816,"2,403","40,972",43.7901172,-79.1733344
Hillcrest Village,687,"3,148","40,442",43.7996637,-79.3650189
Humber Heights-Westmount,521,"3,981","45,615",43.68846955,-79.5063904344015
Humber Summit,1590,"1,570","30,731",43.7600778,-79.5717598
Humbermede,968,"3,565","29,528",,
Humewood-Cedarvale,371,"7,682","65,274",43.69079835,-79.4253981936993
Ionview,804,"7,031","31,383",43.7359904,-79.2765146
Islington-City Centre West,2589,"2,712","52,787",,
Junction Area,1043,"5,442","49,709",45.48625645,13.2839905472599
Keelesdale-Eglinton West,503,"6,467","33,316",43.6901578,-79.4749985
Kennedy Park,1577,"4,770","30,974",33.2181738,-87.5111163
Kensington-Chinatown,3263,"11,806","37,422",42.35177715,-71.0631869969193
Kingsview Village-The Westway,1116,"4,356","36,674",43.6926457,-79.557049
Kingsway South,454,"3,593","144,642",54.9282737,-1.6166207
L'Amoreaux,1570,"6,144","31,826",43.799003,-79.3059669
Lambton Baby Point,193,"4,697","76,629",-32.91202505,151.709806753209
Lansing-Westgate,643,"3,038","72,371",42.478656,-76.48613845
Lawrence Park North,445,"6,407","111,730",40.9403765,-73.8484677
Lawrence Park South,468,"4,685","169,203",40.9403765,-73.8484677
Leaside-Bennington,507,"3,596","125,564",,
Little Portugal,703,"12,859","45,737",43.64741325,-79.4311163254605
Long Branch,557,"4,584","47,384",40.3042778,-73.9923596
Malvern,2024,"4,948","29,573",52.1159559,-2.3258985
Maple Leaf,459,"4,012","37,108",43.7122767,-79.4901977
Markland Wood,293,"3,614","62,378",53.5782296,-2.4801356
Milliken,1414,"2,830","28,085",38.4017642,-81.5459558
Morningside,871,"3,041","32,291",55.9296409,-3.2100796
Moss Park,3609,"14,753","58,915",43.6546438,-79.3697278
Mount Dennis,870,"6,442","30,827",43.6869597,-79.4895513
Mount Olive-Silverstone-Jamestown,2257,"7,291","26,548",,
Mount Pleasant East,413,"5,411","85,340",39.4509353,-77.3149836
Mount Pleasant West,1235,"21,969","57,039",37.7409538,-79.1714738
New Toronto,841,"3,342","44,101",43.6007625,-79.505264
Newtonbrook East,1275,"3,926","45,212",43.7938863,-79.4256790230105
Newtonbrook West,1078,"5,070","34,904",43.7938863,-79.4256790230105
Niagara,1324,"10,156","70,623",43.2042439,-78.7676017
North Riverdale,514,"6,770","73,253",39.7922804,-84.2102191
O'Connor-Parkview,970,"3,780","43,907",43.7050419,-79.3135303
Oakridge,1427,"7,444","26,793",43.6971738,-79.2748232
Oakwood Village,788,"9,511","39,803",39.9672822,-83.7788168
Old East York,600,"3,997","53,315",39.96710015,-76.6747513278521
Palmerston-Little Italy,788,"9,601","58,071",43.655854,-79.4101161
Parkwoods-Donalda,1377,"4,691","42,516",,
Pelmo Park-Humberlea,692,"2,547","39,003",43.7121949,-79.517556398374
Playter Estates-Danforth,709,"8,671","70,831",,
Pleasant View,421,"5,273","36,346",43.787048,-79.3337137
Princess-Rosethorn,363,"2,138","99,055",,
Regent Park,980,"16,880","34,597",43.6607056,-79.3604569
Rexdale-Kipling,694,"4,229","34,418",43.72211415,-79.5722924470802
Rockcliffe-Smythe,1227,"4,414","34,059",,
Roncesvalles,1416,"9,851","50,580",4.10391495,-75.5899419424823
Rosedale-Moore Park,1628,"4,500","207,903",43.6903876,-79.3832965
Rouge,1940,"1,260","39,556",48.2837103,0.705539012148501
Runnymede-Bloor West Village,535,"6,333","71,888",43.6517026,-79.4759978
Rustic,712,"4,734","31,800",47.779893,-3.4348784
Scarborough Village,1241,"5,395","32,913",43.7437422,-79.2116324
South Parkdale,1272,"9,583","35,207",53.4782822,-113.928310732473
South Riverdale,1949,"3,136","53,803",43.6654704,-79.3525936
St.Andrew-Windfields,916,"2,430","100,516",,
Steeles,687,"5,436","31,786",43.8161778,-79.3145378
Stonegate-Queensway,942,"3,199","64,140",52.304344,-0.5920399
Tam O'Shanter-Sullivan,1016,"5,073","34,200",,
Taylor-Massey,853,"15,528","30,430",43.7240387,-79.2661943
The Beaches,853,"6,058","92,580",43.6710244,-79.296712
Thistletown-Beaumond Heights,612,"3,130","32,815",,
Thorncliffe Park,746,"6,787","28,875",43.704553,-79.3454074
Trinity-Bellwoods,1217,"9,570","50,694",43.64756465,-79.4138809026667
University,1293,"5,395","50,757",51.7520849,-1.25166460220888
Victoria Village,594,"3,710","35,786",43.732658,-79.3111892
Waterfront Communities-The Island,5674,"8,943","70,600",34.6459737,-106.7169165
West Hill,2857,"2,856","33,323",43.7689144,-79.1872905
West Humber-Clairville,4338,"1,117","31,771",53.89504245,-0.161157735043996
Westminster-Branson,837,"7,339","32,724",,
Weston,1410,"7,197","32,997",51.3471927,-2.9778916
Wexford/Maryvale,2350,"2,724","35,047",,
Willowdale East,1867,"10,087","45,326",43.7615095,-79.4109234
Willowdale West,548,"5,820","44,576",43.7615095,-79.4109234
Willowridge-Martingrove-Richview,1081,"4,007","44,177",,
Woburn,3158,"4,345","30,878",42.4792618,-71.1522766
Woodbine Corridor,648,"7,838","55,199",43.6984937,-79.3093948
Woodbine-Lumsden,434,"6,722","47,710",43.692829,-79.3157225
Wychwood,623,"8,541","54,460",-26.2005556,28.1275
Yonge-Eglinton,325,"7,162","89,330",43.7067479,-79.3983271
Yonge-St.Clair,234,"10,708","114,174",43.6882104,-79.3940036
York University Heights,3141,"2,086","29,958",40.8618406,-73.9135154
Yorkdale-Glen Park,1571,"2,451","38,527",43.7104338,-79.4533397364436
